Cofog1,Cofog2,Cofog3,title,amount,time
1,1,1,Ministarstvo finansija,4897740,2012
1,1,1,Skupština ,1236100,2012
1,1,1,Inspektorat,569811,2012
1,1,1,Služba za zajedn. poslove,487839,2012
1,1,1,Vlada,467652,2012
3,1,0,Uprava CZ,194207,2012
3,1,0,Uprava policije,5092275,2012
3,1,0,MUP,1191894,2012
3,3,0,Opštinski sud,1008661,2012
3,3,0,Kantonalni sud,469935,2012
3,3,0,Kantonalno tužilaštvo,232342,2012
1,1,1,"Min. za pravosuđe, upravu i radne odnose",232025,2012
3,3,0,Kantonalno pravobranilaštvo,109864,2012
3,3,0,Zavod za bespl. pravnu pomoć,29903,2012
9,1,2,Osnovno obrazovanje,6051534,2012
9,2,2,Srednje obrazovanje,3350548,2012
9,4,2,Visoko obrazovanje,700000,2012
1,1,1,"Min. za obrazovanje, kulturu i sport",2228347,2012
10,9,0,Centar za socijalni rad,5060848,2012
1,1,1,"Min. za soc. politiku, zdrav., ras. lica i izbj.",2185407,2012
1,1,1,Min. za boračk. pitanja,1612249,2012
6,2,0,Min. za urban. prostorn. uređenje i zašt. okoliša,780990,2012
1,1,1,Min. za privredu,2980302,2012
4,5,1,Dir. za ceste,2004941,2012
4,2,2,Kan. uprava za šumarstvo,253257,2012
1,1,1,Dir. robnih rezervi,653886,2012
4,1,1,Agencija za privatiz.,134131,2012
1,1,1,Služba za odnose sa javnošću,80906,2012
1,1,1,Ured premijera,78248,2012
1,1,1,Ured za internu reviziju,69309,2012
1,3,3,Arhiv,53960,2012
